Country_name:string,Country_Code:string,GDP_USD:float,GDP_per_capita_scaled:float,Continent:string,Population:long,Life_expectancy:float
Afghanistan,AFG,19291104008,0.35,Asia,32564342,50.9
Albania,ALB,15286612573,0.947,Europe,3029278,78.1
Algeria,DZA,1.71E+11,1.002,Africa,39542166,76.6
Argentina,ARG,4.45E+11,1.092,South America,43431886,77.7
Armenia,ARM,13672802158,0.85,Asia,3056382,74.4
Australia,AUS,1.40E+12,1.372,Australia,22751014,82.2
Austria,AUT,4.45E+11,1.376,Europe,8665550,81.4
Azerbaijan,AZE,48174235294,1.043,Asia,9780780,72.2
Bahrain,BHR,38474521277,1.362,Asia,1346613,78.7
Bangladesh,BGD,3.03E+11,0.562,Asia,168957745,70.9
Belarus,BLR,64409647194,1.067,Europe,9589689,72.5
Belgium,BEL,5.33E+11,1.356,Europe,11323973,80.9
Benin,BEN,14391686309,0.393,Africa,10448647,61.5
Bhutan,BTN,2530547158,0.813,Asia,741919,69.5
Bolivia,BOL,40895322851,0.776,South America,10800882,68.9
Bosnia and Herzegovina,BIH,20202479538,0.945,Europe,3867055,76.5
Botswana,BWA,18362348888,1.041,Africa,2182719,54.2
Brazil,BRA,1.88E+12,1.004,South America,204259812,73.5
Bulgaria,BGR,68558815112,1.092,Europe,7186893,74.4
Burkina Faso,BFA,15990803570,0.331,Africa,18931686,55.1
Burundi,BDI,3012308946,0.046,Africa,10742276,60.1
Cambodia,KHM,27089389787,0.574,Asia,15708756,64.1
Cameroon,CMR,39007354359,0.549,Africa,23739218,57.9
Canada,CAN,1.74E+12,1.365,North America,35099836,81.8
Central African Republic,CAF,2220307319,0.026,Africa,5391539,51.8
Chad,TCD,11314951343,0.35,Africa,11631456,49.8
Chile,CHL,2.79E+11,1.159,South America,17508260,78.6
China,CHN,1.43E+13,1.029,Asia,1367485388,75.4
Colombia,COL,3.23E+11,0.985,South America,46736728,75.5
Comoros,COM,1165839900,0.274,Africa,780971,63.9
Costa Rica,CRI,63951114302,1.034,Central America,4814144,78.4
Croatia,HRV,60752588976,1.155,Europe,4464844,76.6
Cuba,CUB,1.03E+11,,North America,11031433,78.4
Cyprus,CYP,24949065264,1.263,Asia,1189197,78.5
Czech Republic,CZE,2.51E+11,1.269,Europe,10644842,78.5
Democratic Republic of Congo,COD,50400746171,0.673,Africa,79375136,56.9
Denmark,DNK,3.50E+11,1.383,Europe,5581503,79.2
Dominican Republic,DOM,88941299734,1.015,North America,10478756,78
Ecuador,ECU,1.08E+11,0.912,South America,15868396,76.6
Egypt,EGY,3.03E+11,0.913,Africa,88487396,73.7
El Salvador,SLV,26896660000,0.794,Central America,6141350,74.4
Estonia,EST,31471100656,1.237,Europe,1265420,76.5
Ethiopia,ETH,95912590628,0.336,Africa,99465819,61.5
Finland,FIN,2.69E+11,1.34,Europe,5476922,80.8
France,FRA,2.72E+12,1.324,Europe,66553766,81.8
Gabon,GAB,16874450215,1.057,Africa,1705336,52
Gambia,GMB,1826073740,0.308,Africa,1967709,64.6
Georgia,GEO,17477255562,0.886,Asia,4931226,76
Germany,DEU,3.86E+12,1.373,Europe,80854408,80.6
Ghana,GHA,67234292583,0.611,Africa,26327649,66.2
Greece,GRC,2.05E+11,1.181,Europe,10775643,80.4
Guatemala,GTM,77020015201,0.8,Central America,14918999,72
Guinea,GIN,13513809258,0.38,Africa,11780162,60.1
Haiti,HTI,14332163266,0.323,North America,10110019,63.5
Honduras,HND,25089976947,0.642,Central America,8746673,71
Hong Kong,HKG,3.63E+11,1.438,Asia,7141106,82.9
Hungary,HUN,1.64E+11,1.201,Europe,9897541,75.7
Iceland,ISL,24836714771,1.38,Europe,331918,83
India,IND,2.87E+12,0.755,Asia,1251695584,68.1
Indonesia,IDN,1.12E+12,0.931,Asia,255993674,72.5
Iran,IRN,2.58E+11,1.1,Asia,81824270,71.2
Iraq,IRQ,2.22E+11,1.043,Asia,37056169,74.8
Ireland,IRL,3.99E+11,1.499,Europe,4892305,80.7
Israel,ISR,3.95E+11,1.276,Asia,8049314,82.3
Italy,ITA,2.00E+12,1.294,Europe,61855120,82.1
Ivory Coast,CIV,58539424930,0.569,Africa,23295302,58.3
Jamaica,JAM,15830768550,0.831,North America,2950210,73.5
Japan,JPN,5.06E+12,1.327,Asia,126919659,84.7
Jordan,JOR,44502895915,0.837,Asia,8117564,74.3
Kazakhstan,KAZ,1.82E+11,1.173,Asia,18157122,70.5
Kenya,KEN,95503088538,0.512,Africa,45925301,63.8
Kosovo,XKX,7953156068,0.882,Europe,1870981,69
Kuwait,KWT,1.36E+11,1.5,Asia,2788534,77.8
Kyrgyzstan,KGZ,8871019823,0.551,Asia,5664939,70.4
Laos,LAO,18245925331,0.764,Asia,6911544,63.9
Latvia,LVA,34055464655,1.187,Europe,1986705,74.2
Lebanon,LBN,51991634492,0.987,Asia,6184701,77.4
Lesotho,LSO,2366213069,0.489,Africa,1947701,52.9
Liberia,LBR,3070518100,0.073,Africa,4195666,58.6
Libya,LBY,52091152228,1.044,Africa,6411776,76.3
Lithuania,LTU,54639938780,1.238,Europe,2884433,74.7
Luxembourg,LUX,71104919108,1.609,Europe,570252,82.2
Madagascar,MDG,14191911512,0.274,Africa,23812681,65.5
Malawi,MWI,10862613622,0.191,Africa,17964697,60.7
Malaysia,MYS,3.65E+11,1.221,Asia,30513848,74.8
Maldives,MDV,5642179170,,Asia,393253,75.4
Mali,MLI,17281815734,0.385,Africa,16955536,55.3
Malta,MLT,15215714309,1.3,Europe,413965,80.2
Mauritania,MRT,7600650038,0.57,Africa,3596702,62.6
Mauritius,MUS,14046337855,1.12,Africa,1339827,75.4
Mexico,MEX,1.27E+12,1.07,North America,121736809,75.7
Moldova,MDA,11968699006,0.685,Europe,3546847,70.4
Mongolia,MNG,13996719329,0.948,Asia,2992908,69.3
Montenegro,MNE,5542674765,1.051,Europe,647073,0
Morocco,MAR,1.20E+11,0.801,Africa,33322699,76.7
Mozambique,MOZ,15291448212,0.204,Africa,25303113,52.9
Myanmar,MMR,79844294296,0.71,Asia,56320206,66.3
Namibia,NAM,12565772085,0.879,Africa,2212307,51.6
Nepal,NPL,34186180695,0.446,Asia,31551305,67.5
Netherlands,NLD,9.07E+11,1.396,Europe,16947904,81.2
New Zealand,NZL,2.09E+11,1.303,Australia,4438393,81
Nicaragua,NIC,12611218627,0.694,Central America,5907881,73
Niger,NER,12911689659,0.138,Africa,18045729,55.1
Nigeria,NGA,4.48E+11,0.696,Africa,181562056,53
North Macedonia,MKD,12547086168,0.983,Europe,,
Norway,NOR,4.06E+11,1.488,Europe,5207689,81.7
Pakistan,PAK,2.78E+11,0.677,Asia,199085847,67.4
Palestinian Territories,PAL,0,0.657,Asia,2731052,75.7
Panama,PAN,66787900000,1.149,Central America,3657024,78.5
Paraguay,PRY,37906944075,0.855,South America,6783272,77
Peru,PER,2.28E+11,0.96,South America,30444999,73.5
Philippines,PHL,3.77E+11,0.807,Asia,100998376,69
Poland,POL,5.96E+11,1.206,Europe,38562189,77.4
Portugal,PRT,2.40E+11,1.221,Europe,10825309,79.2
Qatar,QAT,1.76E+11,1.684,Asia,2194817,78.6
Republic of Congo,COG,12693562948,0.094,Africa,4755097,58.8
Romania,ROU,2.50E+11,1.162,Europe,21666350,74.9
